writer,score,data,product_name,headline,content,url,rank,search_keyword
김*규 ,1,2020.07.09,"KY I&D 9000 캐치캐치 가방캐치볼, 랜덤 발송, 1세트",,"아무리 싼거라지만 이건너무성의없네요
한쪽은 손가락끼우는게 아예없어요ㅡㅡ",https://www.coupang.com/vp/products/105094932?itemId=318474224&vendorItemId=3781604222,5,야구공
S*U ,1,2019.07.07,"KY I&D 9000 캐치캐치 가방캐치볼, 랜덤 발송, 1세트",,별 하나도 아깝네요 한번 햇는데 글러브 뜯겨져서 못해요,https://www.coupang.com/vp/products/105094932?itemId=318474224&vendorItemId=3781604222,5,야구공
이*연 ,1,2021.06.07,"KY I&D 9000 캐치캐치 가방캐치볼, 랜덤 발송, 1세트",왜 이렇거 오는거죠?ㅠ0ㅠ,박스가 왜... 택배 아닌줄..,https://www.coupang.com/vp/products/105094932?itemId=318474224&vendorItemId=3781604222,5,야구공
조* ,1,2020.12.31,"KY I&D 9000 캐치캐치 가방캐치볼, 랜덤 발송, 1세트",공이 넘 딱딱해요,"별하나도 아까워요ㅜㅜ
하......
공이 넘 딱딱;;
맞으면 겁나 아픔요~~;;",https://www.coupang.com/vp/products/105094932?itemId=318474224&vendorItemId=3781604222,5,야구공
D*N ,1,2020.09.23,"KY I&D 9000 캐치캐치 가방캐치볼, 랜덤 발송, 1세트",,,https://www.coupang.com/vp/products/105094932?itemId=318474224&vendorItemId=3781604222,5,야구공
윤*이 ,1,2020.10.18,"KY I&D 9000 캐치캐치 가방캐치볼, 랜덤 발송, 1세트",,,https://www.coupang.com/vp/products/105094932?itemId=318474224&vendorItemId=3781604222,5,야구공
김*진 ,1,2020.10.19,"KY I&D 9000 캐치캐치 가방캐치볼, 랜덤 발송, 1세트",,,https://www.coupang.com/vp/products/105094932?itemId=318474224&vendorItemId=3781604222,5,야구공
강*용 ,1,2020.10.25,"KY I&D 9000 캐치캐치 가방캐치볼, 랜덤 발송, 1세트",,,https://www.coupang.com/vp/products/105094932?itemId=318474224&vendorItemId=3781604222,5,야구공
박*옥 ,2,2020.09.26,"KY I&D 9000 캐치캐치 가방캐치볼, 랜덤 발송, 1세트",,"아이가 생일선물로 골라서 구맬 했는데..
한번 가지고 놀고 바로 터졌어요.

공 붙는것이 강해서 너믄 잘 터집니다.",https://www.coupang.com/vp/products/105094932?itemId=318474224&vendorItemId=3781604222,5,야구공
김*성 ,2,2021.06.16,"KY I&D 9000 캐치캐치 가방캐치볼, 랜덤 발송, 1세트",,"공이 너무 딱딱해요 애기가 사용할건데 테니스공처럼 말랑말랑한게 아니라 돌처럼 딱딱하네요,,
바닥에 던지면 딱딱해서 튕기지도 않네요 ㅜ",https://www.coupang.com/vp/products/105094932?itemId=318474224&vendorItemId=3781604222,5,야구공
박*한 ,3,2020.05.30,"KY I&D 9000 캐치캐치 가방캐치볼, 랜덤 발송, 1세트",공이 무척 딱딱해요. 다른 건 괜찮아요.,글러브? 부분이랑 케이스는 마음에 듭니다. 다만 공이 진짜 너무 딱딱해요. 그래서 들어있던 공은 버리고 말랑말랑한 공 2개(만원 ㅠ)를 추가로 구입했어요.,https://www.coupang.com/vp/products/105094932?itemId=318474224&vendorItemId=3781604222,5,야구공
김*례 ,3,2020.09.14,"KY I&D 9000 캐치캐치 가방캐치볼, 랜덤 발송, 1세트",,당일에 몇번 주고 받고하는데 벨트가 튿어지기도하고 공이 찢어지기도 해서 속상했어요.,https://www.coupang.com/vp/products/105094932?itemId=318474224&vendorItemId=3781604222,5,야구공
전*철 ,3,2021.06.25,"KY I&D 9000 캐치캐치 가방캐치볼, 랜덤 발송, 1세트",,,https://www.coupang.com/vp/products/105094932?itemId=318474224&vendorItemId=3781604222,5,야구공
최*희 ,3,2021.05.24,"KY I&D 9000 캐치캐치 가방캐치볼, 랜덤 발송, 1세트",,,https://www.coupang.com/vp/products/105094932?itemId=318474224&vendorItemId=3781604222,5,야구공
김*경 ,3,2021.01.19,"KY I&D 9000 캐치캐치 가방캐치볼, 랜덤 발송, 1세트",,,https://www.coupang.com/vp/products/105094932?itemId=318474224&vendorItemId=3781604222,5,야구공
