writer,score,data,product_name,headline,content,url,rank,search_keyword
최*운 ,1,2020.09.28,"곰곰 맛있는 보조개 알뜰사과, 2.5kg, 1봉",많이 실망임.,"흠...결론부터 말해서..정말 실망이네요.
저번엔 상처없는 사과가 와서 잘 먹었는데..이번엔 완전 꽝이네요.
박스를 열자마자 이미 사과 비닐페키지가 찢어져서 열려있고, 안에있는 사과들은 절반정도가 서로 미친듯이 싸웠는지..온 몸이 멍자국에 상처에...참...반송하기 귀찮아서 그냥 먹긴하겠지만..짜증이 확~~~
인간적으로..상처가 조금 있으면.. 배송하다 조금 부딪쳤나보다 할텐데..이건 뭐...멍자국이 수십개고 깔빵당한 부분도 보이고..이건 마치 포장하기전에 의도적으로 바닥에 사과를 뿌리고 발로 몇번 밟고 넣은 느낌이네요.
일부러 그렇시진 않았을거라 믿고싶지만...사과 상태가 꼭 일부러 이런 사과를 보낸느낌을 지울수가 없네요.
다른 분들 사과 구매하실때 참고하시라고 사진도 첨부합니다.
전 솔직히 다음 사과 구매는 망설여지네요.",https://www.coupang.com/vp/products/1639256695?itemId=2795492984&vendorItemId=70785141324,1,사과
황*주 ,1,2020.07.07,"곰곰 맛있는 보조개 알뜰사과, 2.5kg, 1봉",,이런상품은 팔지마세요 왠만해선 상품평안쓰는데요..버릴상품 본인집에서도 안먹을 상품을 판다는거는 양심이없는거지요 맛도없고 껍질도질기고 완전실망이네요 이런경험 처음이네요 별하나도 아까워요,https://www.coupang.com/vp/products/1639256695?itemId=2795492984&vendorItemId=70785141324,1,사과
김*곤 ,1,2020.09.20,"곰곰 맛있는 보조개 알뜰사과, 2.5kg, 1봉",절대 사지마세요!! 알바를 쓰는지 좋은 평가? 개웃김!,"상태 심각함...
1. 일단 뾱뾱이 없이 기본 비닐+ 바로 박스 포장되서 작은 충격시 바로 데미지 먹게 개차반 포장상태!
2. 몇몇 작은 상처야 그렇다 하더라도 외형은 막 썪기 직전으로 이곳 저곳 뭉게져있고 있음.
3.이건 몇년 묵은 건지 굉장히 푸석푸석함. 알탕먹어도 입안에서 이리저리 알갱이가 도는 느낌이랄까... 오래된거 드시면 아실듯... 냉동실에 몇년간 안팔려서 묵혀놓은골 이때다하고 해동해서 내놓은듯함.
4.냉동보관이 의심되는데 기본 겉 포장에 물기가 많고 사과에도 물기 많음.
다들 사먹지 마요!!! 1원도 아까움!!!
5.일단 하나 씹어 잡솨봤는데 새콤달콤하지도 무맛임!!
맛잇는 무가 더 맛잇는듯...",https://www.coupang.com/vp/products/1639256695?itemId=2795492984&vendorItemId=70785141324,1,사과
김*주 ,1,2020.09.06,"곰곰 맛있는 보조개 알뜰사과, 2.5kg, 1봉",,"겉에만 살짝 흠집나고 멍든 사과가 아니네요.
속까지 다 썩어서 썩은부분 도려내도 사과 전체가 쓴맛나고 먹을 수 없는게 전체중 반이 넘어요.

오히려 겉보기엔 그냥 조금 멍들고 찍힌것 같기도 한데 껍질 깎아보면 생각보다 상태가 더 안좋고, 잘라보면 더 가관이네요~

처음 한두개는 그냥 버리고 말았는데 그게 끝이 아니고 계속 저러네요.
봉지도 다 터져서 왔지만 사과만 괜찮으면 상관없는데 사과 상태가 최악임..
상품평이 좋은편이어서 샀는데 다신 안살것 같아요.",https://www.coupang.com/vp/products/1639256695?itemId=2795492984&vendorItemId=70785141324,1,사과
서*혜 ,1,2020.07.01,"곰곰 맛있는 보조개 알뜰사과, 2.5kg, 1봉",엉망진창이네요,"아,,,세상에
어제 너무 바빠서 상품평을 안보고 구매했더니
여자 주먹보다 작은사이즈, 14개 들어있는데
작은건 이해한다 하지만
3개는 사과 전체가 멍들어있어서 먹을 수 없는 수준
받으면 기분 안좋아지는 상품이네요
맛이야... 이맘때 사과가 다 맛없으려니 생각하고.
주스용으로 샀지만 정말 멍든사과는 기분 나쁘니
골라내고 버린다음 배송해야할듯 합니다",https://www.coupang.com/vp/products/1639256695?itemId=2795492984&vendorItemId=70785141324,1,사과
김*호 ,1,2020.06.28,"곰곰 맛있는 보조개 알뜰사과, 2.5kg, 1봉","맛 없어서,써서,푸석거려서 돈 아깝다......","1.육질은 많이 무르지 않았음.
2.맛: 없음. 약간 푸석거리고 일부는 쓴맛까지 남.
3.품질 떨어지는 사과 안 파시는게 어떠실런지요....",https://www.coupang.com/vp/products/1639256695?itemId=2795492984&vendorItemId=70785141324,1,사과
Z*N ,1,2020.10.29,"곰곰 맛있는 보조개 알뜰사과, 2.5kg, 1봉",돈주고 먹기엔 아까움,"거짓말 않하고 하나빼고 다 버림
돈주고 먹기엔 진심 아까움",https://www.coupang.com/vp/products/1639256695?itemId=2795492984&vendorItemId=70785141324,1,사과
송*이 ,1,2020.10.28,"곰곰 맛있는 보조개 알뜰사과, 2.5kg, 1봉",이렇게 아무맛 안나는 사과는 처음 최악 ㅜㅜ,"최악 ...

저 상품평 왠만해선 안쓰는데
이사과 최악

abc쥬스 1년동안 해먹는데
사과 매번 여러곳애서 시켰고
이전 보조개 사과도 맛이 아주 좋진 않아도
나쁘지 않아서 또 구매 했어요

색이 너무 예쁘고 좋길래
사과철이고 하니 좋겠지 하고
한조각 잘라 먹었는데 .아무맛도 안나는
아니 일반 무 보다도 맛없어요
15개월 아기.사과면 맛 달지 않아도 먹는데
이건 먹자마자 뱉네요
좀 짜증나요",https://www.coupang.com/vp/products/1639256695?itemId=2795492984&vendorItemId=70785141324,1,사과
정*용 ,1,2020.06.17,"곰곰 맛있는 보조개 알뜰사과, 2.5kg, 1봉",쓰그 문드르진거만 보냈습니까? 이럴끄면 팔지를 말든가,"쓰그문드르진그만 보냈습니까?
사과 4개 반 잘랐는데 다 쓰긋네예
환불해줍니까?",https://www.coupang.com/vp/products/1639256695?itemId=2795492984&vendorItemId=70785141324,1,사과
손지혜 ,1,2020.06.20,"곰곰 맛있는 보조개 알뜰사과, 2.5kg, 1봉",,"상품평을 보고살껄. .
주스용이라 그냥 저렴해서 구매했는데
이게 뭔가요. . .",https://www.coupang.com/vp/products/1639256695?itemId=2795492984&vendorItemId=70785141324,1,사과
